creator,package,archived,forks,stars,creationdate,lastcommit,secondlastcommit,thirdlastcommit
inoas,glacier,FALSE,5,33,2022-12-19,2025-04-28,2025-04-28,2025-04-22
lpil,gleeunit,FALSE,26,36,2021-10-31,2025-11-06,2025-11-06,2025-11-06
bcpeinhardt,testbldr,FALSE,3,4,2023-09-05,2024-02-01,2023-12-29,2023-12-15
MystPi,dedent,FALSE,1,4,2024-04-20,2024-04-20,,
giacomocavalieri,edit_distance,FALSE,1,10,2023-07-23,2025-09-28,2025-09-28,2025-09-28
renatillas,g18n,FALSE,1,17,2025-09-06,2025-12-07,2025-12-04,2025-12-04
JohnBjrk,gap,FALSE,3,20,2023-01-27,2024-03-16,2024-03-16,2024-03-16
giacomocavalieri,glam,FALSE,7,54,2023-08-21,2025-12-12,2025-07-29,2025-07-28
brettkolodny,gleam-hug,FALSE,3,32,2023-01-22,2024-05-01,2024-05-01,2024-05-01
SaphiraKai,humanise,FALSE,1,7,2024-07-31,2025-08-29,2025-08-28,2025-07-30
lpil,justin,FALSE,1,10,2023-12-30,2023-12-31,2023-12-30,2023-12-30
leobm,phonetic_gleam,FALSE,0,3,2024-03-04,2024-03-08,2024-03-04,2024-03-04
lpil,glance,FALSE,14,73,2023-05-12,2025-10-21,2025-10-21,2025-10-19
MAHcodes,wink,FALSE,0,7,2024-04-09,2024-04-13,2024-04-13,2024-04-09
renatillas,clockwork,FALSE,4,22,2025-02-22,2025-10-18,2025-09-16,2025-08-18
massivefermion,birl,FALSE,16,81,2022-12-22,2025-11-05,2025-11-05,2024-12-18
gleam-lang,time,FALSE,11,57,2024-12-23,2025-11-18,2025-11-18,2025-11-01
jrstrunk,tempo,FALSE,4,48,2024-06-13,2025-09-24,2025-09-24,2025-09-24
jrstrunk,gtz,FALSE,0,5,2024-10-17,2025-04-08,2025-04-08,2025-04-08
michaeljones,rada,FALSE,4,17,2024-05-11,2025-12-16,2025-12-16,2025-01-12
aosasona,crossbar,FALSE,0,16,2024-01-14,2025-11-05,2025-11-05,2025-11-05
sporto,gleam-validator,FALSE,5,44,2020-10-16,2025-10-12,2025-10-12,2025-10-12
MystPi,glen,FALSE,4,105,2024-01-30,2025-06-30,2025-06-30,2025-06-30
gleam-wisp,wisp,FALSE,61,1328,2023-08-04,2025-12-15,2025-12-15,2025-12-15
lpil,atomb,FALSE,0,15,2025-03-25,2025-04-07,2025-04-06,2025-03-25
lustre-labs,ssg,FALSE,22,93,2023-09-17,2025-12-04,2025-12-04,2025-11-23
